,ccode,pcode,year,cgdp_c2000,pgdp_c2000
654853,CMR,CAN,1987,9120000000.0,496000000000.0
654854,CMR,CAN,1989,8250000000.0,534000000000.0
654855,CMR,CAN,1990,7750000000.0,535000000000.0
654856,CMR,CAN,1995,7040000000.0,582000000000.0
654857,CMR,CAN,1997,7770000000.0,617000000000.0
654858,CMR,CAN,1998,8160000000.0,642000000000.0
654859,CMR,CAN,1999,8520000000.0,678000000000.0
654860,CMR,CAN,2000,8880000000.0,714000000000.0
654861,CMR,CAN,2001,9350000000.0,727000000000.0
654862,CMR,CAN,2002,9740000000.0,751000000000.0
654863,CMR,CAN,2003,10200000000.0,766000000000.0
654864,CMR,CAN,2004,10700000000.0,788000000000.0
654873,CMR,CAN,1996,7390000000.0,592000000000.0
655256,CMR,CHE,1976,3870000000.0,164000000000.0
655257,CMR,CHE,1977,4410000000.0,168000000000.0
655258,CMR,CHE,1978,5370000000.0,169000000000.0
655259,CMR,CHE,1979,5700000000.0,173000000000.0
655260,CMR,CHE,1980,5590000000.0,181000000000.0
655261,CMR,CHE,1982,7030000000.0,181000000000.0
655262,CMR,CHE,1986,9320000000.0,197000000000.0
655263,CMR,CHE,1987,9120000000.0,199000000000.0
655264,CMR,CHE,1989,8250000000.0,214000000000.0
655265,CMR,CHE,1990,7750000000.0,222000000000.0
655266,CMR,CHE,1995,7040000000.0,223000000000.0
655267,CMR,CHE,1996,7390000000.0,224000000000.0
655268,CMR,CHE,1997,7770000000.0,228000000000.0
655269,CMR,CHE,1998,8160000000.0,235000000000.0
655270,CMR,CHE,1999,8520000000.0,238000000000.0
655271,CMR,CHE,2000,8880000000.0,246000000000.0
655272,CMR,CHE,2001,9350000000.0,249000000000.0
655273,CMR,CHE,2002,9740000000.0,249000000000.0
655274,CMR,CHE,2003,10200000000.0,248000000000.0
655275,CMR,CHE,2004,10700000000.0,252000000000.0
655717,CMR,CHL,1995,7040000000.0,61000000000.0
655718,CMR,CHL,1996,7390000000.0,65600000000.0
655719,CMR,CHL,1997,7770000000.0,70400000000.0
655720,CMR,CHL,2002,9740000000.0,79300000000.0
655721,CMR,CHL,2003,10200000000.0,82000000000.0
655722,CMR,CHL,1998,8160000000.0,73200000000.0
655724,CMR,CHL,1986,9320000000.0,30700000000.0
655725,CMR,CHL,1989,8250000000.0,38800000000.0
655728,CMR,CHL,1999,8520000000.0,72300000000.0
655730,CMR,CHL,2004,10700000000.0,86900000000.0
655731,CMR,CHL,2001,9350000000.0,77600000000.0
655738,CMR,CHL,1977,4410000000.0,22000000000.0
655740,CMR,CHN,1976,3870000000.0,122000000000.0
655741,CMR,CHN,1977,4410000000.0,131000000000.0
655742,CMR,CHN,1978,5370000000.0,146000000000.0
655743,CMR,CHN,1979,5700000000.0,158000000000.0
655744,CMR,CHN,1980,5590000000.0,170000000000.0
655745,CMR,CHN,1982,7030000000.0,195000000000.0
655746,CMR,CHN,1986,9320000000.0,308000000000.0
655747,CMR,CHN,1987,9120000000.0,343000000000.0
655748,CMR,CHN,1989,8250000000.0,398000000000.0
655749,CMR,CHN,1990,7750000000.0,413000000000.0
655750,CMR,CHN,1995,7040000000.0,727000000000.0
655751,CMR,CHN,1996,7390000000.0,797000000000.0
655752,CMR,CHN,1997,7770000000.0,867000000000.0
655753,CMR,CHN,1998,8160000000.0,934000000000.0
655754,CMR,CHN,1999,8520000000.0,1000000000000.0
655755,CMR,CHN,2000,8880000000.0,1080000000000.0
655756,CMR,CHN,2001,9350000000.0,1160000000000.0
655757,CMR,CHN,2002,9740000000.0,1260000000000.0
655758,CMR,CHN,2003,10200000000.0,1380000000000.0
655759,CMR,CHN,2004,10700000000.0,1510000000000.0
656245,CMR,CIV,1976,3870000000.0,7140000000.0
656246,CMR,CIV,1977,4410000000.0,7660000000.0
656247,CMR,CIV,1978,5370000000.0,8500000000.0
656248,CMR,CIV,1979,5700000000.0,8700000000.0
656249,CMR,CIV,1980,5590000000.0,7750000000.0
656250,CMR,CIV,1982,7030000000.0,8030000000.0
656251,CMR,CIV,1986,9320000000.0,8110000000.0
656252,CMR,CIV,1987,9120000000.0,8080000000.0
656253,CMR,CIV,1989,8250000000.0,8410000000.0
656254,CMR,CIV,1990,7750000000.0,8320000000.0
656255,CMR,CIV,1995,7040000000.0,8950000000.0
656256,CMR,CIV,1996,7390000000.0,9640000000.0
656257,CMR,CIV,1997,7770000000.0,10200000000.0
656258,CMR,CIV,1998,8160000000.0,10700000000.0
656259,CMR,CIV,1999,8520000000.0,10800000000.0
656260,CMR,CIV,2000,8880000000.0,10600000000.0
656261,CMR,CIV,2001,9350000000.0,10600000000.0
656262,CMR,CIV,2002,9740000000.0,10400000000.0
656263,CMR,CIV,2003,10200000000.0,10200000000.0
656264,CMR,CIV,2004,10700000000.0,9990000000.0
656681,CMR,COG,1976,3870000000.0,1380000000.0
656682,CMR,COG,1979,5700000000.0,1470000000.0
656683,CMR,COG,1982,7030000000.0,2510000000.0
656684,CMR,COG,1986,9320000000.0,2620000000.0
656685,CMR,COG,1987,9120000000.0,2620000000.0
656686,CMR,COG,1989,8250000000.0,2740000000.0
656687,CMR,COG,1990,7750000000.0,2770000000.0
656688,CMR,COG,1995,7040000000.0,2850000000.0
656689,CMR,COG,1996,7390000000.0,2980000000.0
656690,CMR,COG,1997,7770000000.0,2960000000.0
656691,CMR,COG,2000,8880000000.0,3220000000.0
656692,CMR,COG,2001,9350000000.0,3340000000.0
656693,CMR,COG,2002,9740000000.0,3520000000.0
656694,CMR,COG,2003,10200000000.0,3540000000.0
656695,CMR,COG,2004,10700000000.0,3690000000.0
656821,CMR,COG,1999,8520000000.0,2980000000.0
656837,CMR,COG,1998,8160000000.0,3070000000.0
657049,CMR,COL,1995,7040000000.0,80000000000.0
657050,CMR,COL,1996,7390000000.0,81700000000.0
657051,CMR,COL,1997,7770000000.0,84500000000.0
657052,CMR,COL,2000,8880000000.0,83800000000.0
657053,CMR,COL,2002,9740000000.0,86700000000.0
657054,CMR,COL,2003,10200000000.0,90100000000.0
657055,CMR,COL,2004,10700000000.0,93700000000.0
657056,CMR,COL,1999,8520000000.0,81400000000.0
657059,CMR,COL,1986,9320000000.0,54400000000.0
657060,CMR,COL,1989,8250000000.0,61700000000.0
657061,CMR,COL,1990,7750000000.0,65400000000.0
657068,CMR,COL,1998,8160000000.0,85000000000.0
657071,CMR,COL,2001,9350000000.0,85000000000.0
657113,CMR,CRI,1980,5590000000.0,7570000000.0
657114,CMR,CRI,1995,7040000000.0,12500000000.0
657115,CMR,CRI,1996,7390000000.0,12700000000.0
657116,CMR,CRI,2002,9740000000.0,16600000000.0
657117,CMR,CRI,1989,8250000000.0,9280000000.0
657118,CMR,CRI,1990,7750000000.0,9610000000.0
657121,CMR,CRI,1997,7770000000.0,13400000000.0
657122,CMR,CRI,2000,8880000000.0,16000000000.0
657124,CMR,CRI,2003,10200000000.0,17700000000.0
657125,CMR,CRI,2004,10700000000.0,18400000000.0
657126,CMR,CRI,1998,8160000000.0,14500000000.0
657133,CMR,CRI,1999,8520000000.0,15700000000.0
657135,CMR,CRI,2001,9350000000.0,16100000000.0
657182,CMR,CRI,1986,9320000000.0,8100000000.0
657183,CMR,CRI,1987,9120000000.0,8490000000.0
657202,CMR,CUB,1987,9120000000.0,
657203,CMR,CUB,1997,7770000000.0,
657204,CMR,CUB,2001,9350000000.0,
657205,CMR,CUB,2004,10700000000.0,
657206,CMR,CUB,1976,3870000000.0,
657207,CMR,CUB,1977,4410000000.0,
657208,CMR,CUB,1978,5370000000.0,
657209,CMR,CUB,1979,5700000000.0,
657210,CMR,CUB,1980,5590000000.0,
657211,CMR,CUB,1982,7030000000.0,
657212,CMR,CUB,1986,9320000000.0,
657214,CMR,CUB,1998,8160000000.0,
657217,CMR,CYP,1989,8250000000.0,5680000000.0
657218,CMR,CYP,1990,7750000000.0,6100000000.0
657219,CMR,CYP,2003,10200000000.0,9910000000.0
657220,CMR,CYP,2004,10700000000.0,10300000000.0
657221,CMR,CYP,2001,9350000000.0,9520000000.0
657222,CMR,CYP,2002,9740000000.0,9720000000.0
657224,CMR,CYP,1982,7030000000.0,3620000000.0
657225,CMR,CYP,1995,7040000000.0,7600000000.0
657228,CMR,CYP,1987,9120000000.0,4840000000.0
657231,CMR,CYP,1996,7390000000.0,7750000000.0
657232,CMR,CYP,1997,7770000000.0,7930000000.0
657233,CMR,CYP,2000,8880000000.0,9150000000.0
657241,CMR,CYP,1998,8160000000.0,8330000000.0
657248,CMR,CYP,1980,5590000000.0,3330000000.0
657249,CMR,CYP,1986,9320000000.0,4520000000.0
657250,CMR,CYP,1999,8520000000.0,8710000000.0
657260,CMR,CZE,1995,7040000000.0,51800000000.0
657261,CMR,CZE,1999,8520000000.0,53600000000.0
657262,CMR,CZE,2000,8880000000.0,55700000000.0
657263,CMR,CZE,2001,9350000000.0,57200000000.0
657264,CMR,CZE,2002,9740000000.0,58000000000.0
657265,CMR,CZE,2003,10200000000.0,60200000000.0
657269,CMR,CZE,2004,10700000000.0,62600000000.0
657274,CMR,CZE,1996,7390000000.0,54000000000.0
657275,CMR,CZE,1997,7770000000.0,53600000000.0
657300,CMR,CZE,1998,8160000000.0,53000000000.0
657436,CMR,DEU,1976,3870000000.0,1100000000000.0
657437,CMR,DEU,1977,4410000000.0,1130000000000.0
657438,CMR,DEU,1978,5370000000.0,1170000000000.0
657439,CMR,DEU,1979,5700000000.0,1220000000000.0
657440,CMR,DEU,1980,5590000000.0,1230000000000.0
657441,CMR,DEU,1982,7030000000.0,1220000000000.0
657442,CMR,DEU,1986,9320000000.0,1340000000000.0
657443,CMR,DEU,1987,9120000000.0,1360000000000.0
657444,CMR,DEU,1989,8250000000.0,1460000000000.0
657445,CMR,DEU,1990,7750000000.0,1550000000000.0
657446,CMR,DEU,1995,7040000000.0,1710000000000.0
657447,CMR,DEU,1996,7390000000.0,1720000000000.0
657448,CMR,DEU,1997,7770000000.0,1750000000000.0
657449,CMR,DEU,1998,8160000000.0,1780000000000.0
657450,CMR,DEU,1999,8520000000.0,1820000000000.0
657451,CMR,DEU,2000,8880000000.0,1870000000000.0
657452,CMR,DEU,2001,9350000000.0,1890000000000.0
657453,CMR,DEU,2002,9740000000.0,1890000000000.0
657454,CMR,DEU,2003,10200000000.0,1890000000000.0
657455,CMR,DEU,2004,10700000000.0,1920000000000.0
657977,CMR,DJI,1978,5370000000.0,
657979,CMR,DJI,1997,7770000000.0,537000000.0
657980,CMR,DJI,2001,9350000000.0,563000000.0
657982,CMR,DJI,1989,8250000000.0,622000000.0
657985,CMR,DJI,1986,9320000000.0,
657987,CMR,DJI,1990,7750000000.0,610000000.0
657988,CMR,DMA,2000,8880000000.0,271000000.0
657989,CMR,DMA,1996,7390000000.0,251000000.0
657990,CMR,DMA,1999,8520000000.0,269000000.0
657991,CMR,DMA,1997,7770000000.0,255000000.0
657993,CMR,DMA,1995,7040000000.0,244000000.0
657995,CMR,DMA,1998,8160000000.0,267000000.0
657999,CMR,DNK,1976,3870000000.0,102000000000.0
658000,CMR,DNK,1977,4410000000.0,103000000000.0
658001,CMR,DNK,1978,5370000000.0,105000000000.0
658002,CMR,DNK,1979,5700000000.0,108000000000.0
658003,CMR,DNK,1980,5590000000.0,108000000000.0
658004,CMR,DNK,1982,7030000000.0,108000000000.0
658005,CMR,DNK,1986,9320000000.0,123000000000.0
658006,CMR,DNK,1987,9120000000.0,123000000000.0
658007,CMR,DNK,1990,7750000000.0,126000000000.0
658008,CMR,DNK,1995,7040000000.0,139000000000.0
658009,CMR,DNK,1996,7390000000.0,142000000000.0
658010,CMR,DNK,1997,7770000000.0,146000000000.0
658011,CMR,DNK,1998,8160000000.0,150000000000.0
658012,CMR,DNK,1999,8520000000.0,154000000000.0
658013,CMR,DNK,2000,8880000000.0,158000000000.0
658014,CMR,DNK,2001,9350000000.0,161000000000.0
658015,CMR,DNK,2002,9740000000.0,162000000000.0
658016,CMR,DNK,2003,10200000000.0,163000000000.0
658017,CMR,DNK,2004,10700000000.0,167000000000.0
658371,CMR,DOM,1995,7040000000.0,13600000000.0
658372,CMR,DOM,1996,7390000000.0,14600000000.0
658373,CMR,DOM,1997,7770000000.0,15700000000.0
658374,CMR,DOM,1998,8160000000.0,16900000000.0
658375,CMR,DOM,2002,9740000000.0,21400000000.0
658376,CMR,DOM,2004,10700000000.0,21700000000.0
658381,CMR,DOM,1986,9320000000.0,9960000000.0
658382,CMR,DZA,1976,3870000000.0,27600000000.0
658383,CMR,DZA,1977,4410000000.0,29100000000.0
658384,CMR,DZA,1978,5370000000.0,31700000000.0
658385,CMR,DZA,1979,5700000000.0,34100000000.0
658386,CMR,DZA,1980,5590000000.0,34400000000.0
658387,CMR,DZA,1982,7030000000.0,37700000000.0
658388,CMR,DZA,1995,7040000000.0,45700000000.0
658389,CMR,DZA,1996,7390000000.0,47600000000.0
658396,CMR,DZA,1986,9320000000.0,43600000000.0
658397,CMR,DZA,1987,9120000000.0,43300000000.0
658398,CMR,DZA,1989,8250000000.0,44800000000.0
658399,CMR,DZA,1990,7750000000.0,45200000000.0
658401,CMR,DZA,2004,10700000000.0,64200000000.0
658407,CMR,DZA,2003,10200000000.0,61000000000.0
658408,CMR,DZA,2000,8880000000.0,53500000000.0
658409,CMR,DZA,2001,9350000000.0,54800000000.0
658416,CMR,DZA,1999,8520000000.0,52200000000.0
658417,CMR,DZA,2002,9740000000.0,57100000000.0
658420,CMR,ECU,1997,7770000000.0,16200000000.0
658421,CMR,ECU,1998,8160000000.0,16600000000.0
658422,CMR,ECU,2003,10200000000.0,17800000000.0
658423,CMR,ECU,2004,10700000000.0,19000000000.0
658424,CMR,ECU,2000,8880000000.0,15900000000.0
658425,CMR,ECU,1976,3870000000.0,9060000000.0
658427,CMR,ECU,2001,9350000000.0,16800000000.0
658428,CMR,ECU,2002,9740000000.0,17300000000.0
658430,CMR,ECU,1996,7390000000.0,15600000000.0
658439,CMR,ECU,1987,9120000000.0,11900000000.0
658441,CMR,ECU,1977,4410000000.0,9270000000.0
658443,CMR,ECU,1999,8520000000.0,15500000000.0
658452,CMR,EGY,1976,3870000000.0,27400000000.0
658453,CMR,EGY,1982,7030000000.0,43600000000.0
658454,CMR,EGY,1995,7040000000.0,76900000000.0
658455,CMR,EGY,1996,7390000000.0,80700000000.0
658456,CMR,EGY,1997,7770000000.0,85100000000.0
658457,CMR,EGY,1998,8160000000.0,89000000000.0
658458,CMR,EGY,1999,8520000000.0,94600000000.0
658459,CMR,EGY,2000,8880000000.0,99400000000.0
658460,CMR,EGY,2001,9350000000.0,103000000000.0
658461,CMR,EGY,2002,9740000000.0,106000000000.0
658462,CMR,EGY,2003,10200000000.0,110000000000.0
658463,CMR,EGY,2004,10700000000.0,114000000000.0
658478,CMR,EGY,1979,5700000000.0,34700000000.0
658484,CMR,EGY,1990,7750000000.0,65000000000.0
658492,CMR,EGY,1978,5370000000.0,32700000000.0
658493,CMR,EGY,1980,5590000000.0,38200000000.0
658494,CMR,EGY,1989,8250000000.0,61500000000.0
658588,CMR,EGY,1986,9320000000.0,54300000000.0
658589,CMR,EGY,1987,9120000000.0,55700000000.0
658623,CMR,ESP,1976,3870000000.0,303000000000.0
658624,CMR,ESP,1977,4410000000.0,312000000000.0
658625,CMR,ESP,1978,5370000000.0,316000000000.0
658626,CMR,ESP,1979,5700000000.0,316000000000.0
658627,CMR,ESP,1980,5590000000.0,323000000000.0
658628,CMR,ESP,1982,7030000000.0,327000000000.0
658629,CMR,ESP,1986,9320000000.0,358000000000.0
658630,CMR,ESP,1987,9120000000.0,378000000000.0
658631,CMR,ESP,1989,8250000000.0,416000000000.0
658632,CMR,ESP,1990,7750000000.0,432000000000.0
658633,CMR,ESP,1995,7040000000.0,465000000000.0
658634,CMR,ESP,1996,7390000000.0,477000000000.0
658635,CMR,ESP,1997,7770000000.0,496000000000.0
658636,CMR,ESP,1998,8160000000.0,517000000000.0
658637,CMR,ESP,1999,8520000000.0,539000000000.0
658638,CMR,ESP,2000,8880000000.0,562000000000.0
658639,CMR,ESP,2001,9350000000.0,578000000000.0
658640,CMR,ESP,2002,9740000000.0,590000000000.0
658641,CMR,ESP,2003,10200000000.0,604000000000.0
658642,CMR,ESP,2004,10700000000.0,623000000000.0
659135,CMR,EST,2001,9350000000.0,5810000000.0
659136,CMR,ETH,2003,10200000000.0,6970000000.0
659137,CMR,ETH,2004,10700000000.0,7900000000.0
659138,CMR,ETH,1995,7040000000.0,5100000000.0
659141,CMR,FIN,1977,4410000000.0,64200000000.0
659142,CMR,FIN,1982,7030000000.0,77700000000.0
659143,CMR,FIN,1987,9120000000.0,91000000000.0
659144,CMR,FIN,1995,7040000000.0,95200000000.0
659145,CMR,FIN,2000,8880000000.0,120000000000.0
659146,CMR,FIN,2001,9350000000.0,121000000000.0
659147,CMR,FIN,1979,5700000000.0,70200000000.0
659148,CMR,FIN,1978,5370000000.0,65800000000.0
659149,CMR,FIN,1990,7750000000.0,99600000000.0
659150,CMR,FIN,2002,9740000000.0,124000000000.0
659151,CMR,FIN,2003,10200000000.0,126000000000.0
659152,CMR,FIN,2004,10700000000.0,131000000000.0
659154,CMR,FIN,1986,9320000000.0,87300000000.0
659155,CMR,FIN,1976,3870000000.0,63700000000.0
659159,CMR,FIN,1980,5590000000.0,73800000000.0
659163,CMR,FIN,1989,8250000000.0,99900000000.0
659166,CMR,FIN,1996,7390000000.0,98900000000.0
659167,CMR,FIN,1997,7770000000.0,105000000000.0
659187,CMR,FIN,1998,8160000000.0,110000000000.0
659188,CMR,FIN,1999,8520000000.0,114000000000.0
659361,CMR,FRA,1976,3870000000.0,761000000000.0
659362,CMR,FRA,1977,4410000000.0,785000000000.0
659363,CMR,FRA,1978,5370000000.0,812000000000.0
659364,CMR,FRA,1979,5700000000.0,838000000000.0
659365,CMR,FRA,1980,5590000000.0,852000000000.0
659366,CMR,FRA,1982,7030000000.0,885000000000.0
659367,CMR,FRA,1986,9320000000.0,948000000000.0
659368,CMR,FRA,1987,9120000000.0,973000000000.0
659369,CMR,FRA,1989,8250000000.0,1060000000000.0
659370,CMR,FRA,1990,7750000000.0,1090000000000.0
659371,CMR,FRA,1995,7040000000.0,1150000000000.0
659372,CMR,FRA,1996,7390000000.0,1160000000000.0
659373,CMR,FRA,1997,7770000000.0,1180000000000.0
659374,CMR,FRA,1998,8160000000.0,1220000000000.0
659375,CMR,FRA,1999,8520000000.0,1260000000000.0
659376,CMR,FRA,2000,8880000000.0,1310000000000.0
659377,CMR,FRA,2001,9350000000.0,1340000000000.0
659378,CMR,FRA,2002,9740000000.0,1350000000000.0
659379,CMR,FRA,2003,10200000000.0,1360000000000.0
659380,CMR,FRA,2004,10700000000.0,1390000000000.0
659916,CMR,GAB,1976,3870000000.0,4770000000.0
659917,CMR,GAB,1979,5700000000.0,3180000000.0
659918,CMR,GAB,1982,7030000000.0,3330000000.0
659919,CMR,GAB,1986,9320000000.0,3660000000.0
659920,CMR,GAB,1987,9120000000.0,3030000000.0
659921,CMR,GAB,1989,8250000000.0,3710000000.0
659922,CMR,GAB,1990,7750000000.0,3900000000.0
659923,CMR,GAB,1995,7040000000.0,4540000000.0
659924,CMR,GAB,1996,7390000000.0,4780000000.0
659925,CMR,GAB,1997,7770000000.0,5050000000.0
659926,CMR,GAB,1998,8160000000.0,5150000000.0
659927,CMR,GAB,2000,8880000000.0,4930000000.0
659928,CMR,GAB,2001,9350000000.0,5060000000.0
659929,CMR,GAB,2002,9740000000.0,5060000000.0
659930,CMR,GAB,2003,10200000000.0,5200000000.0
659931,CMR,GAB,2004,10700000000.0,5300000000.0
659977,CMR,GAB,1999,8520000000.0,4840000000.0
660297,CMR,GBR,1976,3870000000.0,823000000000.0
660298,CMR,GBR,1977,4410000000.0,843000000000.0
660299,CMR,GBR,1978,5370000000.0,870000000000.0
660300,CMR,GBR,1979,5700000000.0,894000000000.0
660301,CMR,GBR,1980,5590000000.0,875000000000.0
660302,CMR,GBR,1982,7030000000.0,879000000000.0
660303,CMR,GBR,1986,9320000000.0,1010000000000.0
660304,CMR,GBR,1987,9120000000.0,1050000000000.0
660305,CMR,GBR,1989,8250000000.0,1130000000000.0
660306,CMR,GBR,1990,7750000000.0,1140000000000.0
660307,CMR,GBR,1995,7040000000.0,1230000000000.0
660308,CMR,GBR,1996,7390000000.0,1270000000000.0
660309,CMR,GBR,1997,7770000000.0,1310000000000.0
660310,CMR,GBR,1998,8160000000.0,1350000000000.0
660311,CMR,GBR,1999,8520000000.0,1390000000000.0
660312,CMR,GBR,2000,8880000000.0,1440000000000.0
660313,CMR,GBR,2001,9350000000.0,1470000000000.0
660314,CMR,GBR,2002,9740000000.0,1490000000000.0
660315,CMR,GBR,2003,10200000000.0,1530000000000.0
660316,CMR,GBR,2004,10700000000.0,1580000000000.0
660822,CMR,GEO,2002,9740000000.0,3360000000.0
660823,CMR,GEO,2004,10700000000.0,4060000000.0
660824,CMR,GEO,2003,10200000000.0,3740000000.0
660825,CMR,GEO,2000,8880000000.0,3040000000.0
660831,CMR,GHA,1976,3870000000.0,2430000000.0
660832,CMR,GHA,1977,4410000000.0,2490000000.0
660833,CMR,GHA,1978,5370000000.0,2700000000.0
660834,CMR,GHA,1995,7040000000.0,4030000000.0
660835,CMR,GHA,1996,7390000000.0,4210000000.0
660836,CMR,GHA,1997,7770000000.0,4390000000.0
660837,CMR,GHA,1998,8160000000.0,4600000000.0
660838,CMR,GHA,1999,8520000000.0,4800000000.0
660839,CMR,GHA,2002,9740000000.0,5420000000.0
660840,CMR,GHA,2003,10200000000.0,5700000000.0
660841,CMR,GHA,2004,10700000000.0,6000000000.0
660846,CMR,GHA,2000,8880000000.0,4980000000.0
660855,CMR,GHA,2001,9350000000.0,5190000000.0
660860,CMR,GHA,1979,5700000000.0,2630000000.0
660861,CMR,GHA,1986,9320000000.0,2720000000.0
660862,CMR,GHA,1987,9120000000.0,2850000000.0
660888,CMR,GHA,1990,7750000000.0,3270000000.0
660896,CMR,GHA,1989,8250000000.0,3160000000.0
660928,CMR,GHA,1980,5590000000.0,2640000000.0
660941,CMR,GIN,1989,8250000000.0,2020000000.0
660942,CMR,GIN,1990,7750000000.0,2110000000.0
660943,CMR,GIN,1995,7040000000.0,2540000000.0
660944,CMR,GIN,1996,7390000000.0,2650000000.0
660945,CMR,GIN,2000,8880000000.0,3110000000.0
660946,CMR,GIN,2001,9350000000.0,3230000000.0
660947,CMR,GIN,2002,9740000000.0,3370000000.0
660948,CMR,GIN,2003,10200000000.0,3410000000.0
660949,CMR,GIN,2004,10700000000.0,3500000000.0
660955,CMR,GIN,1982,7030000000.0,
660962,CMR,GIN,1986,9320000000.0,1770000000.0
660963,CMR,GIN,1987,9120000000.0,1830000000.0
660973,CMR,GIN,1997,7770000000.0,2790000000.0
660974,CMR,GIN,1998,8160000000.0,2920000000.0
661014,CMR,GIN,1976,3870000000.0,
661015,CMR,GIN,1977,4410000000.0,
661016,CMR,GIN,1978,5370000000.0,
661017,CMR,GIN,1979,5700000000.0,
661018,CMR,GIN,1980,5590000000.0,
661028,CMR,GIN,1999,8520000000.0,3050000000.0
661163,CMR,GMB,1999,8520000000.0,399000000.0
661164,CMR,GMB,2002,9740000000.0,431000000.0
661165,CMR,GMB,2003,10200000000.0,460000000.0
661166,CMR,GMB,2004,10700000000.0,498000000.0
661168,CMR,GMB,2000,8880000000.0,421000000.0
661173,CMR,GMB,1990,7750000000.0,305000000.0
661178,CMR,GNB,1977,4410000000.0,118000000.0
661179,CMR,GNB,1997,7770000000.0,259000000.0
661181,CMR,GNB,1989,8250000000.0,175000000.0
661182,CMR,GNB,1995,7040000000.0,218000000.0
661184,CMR,GRC,1976,3870000000.0,72400000000.0
661185,CMR,GRC,1977,4410000000.0,74500000000.0
661186,CMR,GRC,1978,5370000000.0,79900000000.0
661187,CMR,GRC,1979,5700000000.0,82500000000.0
661188,CMR,GRC,1980,5590000000.0,83100000000.0
661189,CMR,GRC,1982,7030000000.0,80900000000.0
661190,CMR,GRC,1986,9320000000.0,84100000000.0
661191,CMR,GRC,1987,9120000000.0,82200000000.0
661192,CMR,GRC,1989,8250000000.0,89000000000.0
661193,CMR,GRC,1990,7750000000.0,89000000000.0
661194,CMR,GRC,1995,7040000000.0,94600000000.0
661195,CMR,GRC,1996,7390000000.0,96900000000.0
661196,CMR,GRC,1997,7770000000.0,100000000000.0
661197,CMR,GRC,1998,8160000000.0,104000000000.0
661198,CMR,GRC,1999,8520000000.0,107000000000.0
661199,CMR,GRC,2000,8880000000.0,112000000000.0
661200,CMR,GRC,2001,9350000000.0,117000000000.0
661201,CMR,GRC,2002,9740000000.0,121000000000.0
661202,CMR,GRC,2003,10200000000.0,126000000000.0
661203,CMR,GRC,2004,10700000000.0,132000000000.0
661572,CMR,GTM,2001,9350000000.0,19700000000.0
661573,CMR,GTM,2000,8880000000.0,19300000000.0
661575,CMR,GTM,1999,8520000000.0,18600000000.0
661577,CMR,GTM,2004,10700000000.0,21200000000.0
661579,CMR,GTM,1997,7770000000.0,17100000000.0
661580,CMR,GTM,1998,8160000000.0,17900000000.0
661582,CMR,GTM,2002,9740000000.0,20200000000.0
661583,CMR,GTM,2003,10200000000.0,20600000000.0
661585,CMR,GTM,1986,9320000000.0,11200000000.0
661586,CMR,GTM,1989,8250000000.0,12500000000.0
661593,CMR,GUY,1997,7770000000.0,714000000.0
661594,CMR,HKG,1976,3870000000.0,38000000000.0
661595,CMR,HKG,1977,4410000000.0,42600000000.0
661596,CMR,HKG,1978,5370000000.0,46300000000.0
661597,CMR,HKG,1979,5700000000.0,51800000000.0
661598,CMR,HKG,1980,5590000000.0,57200000000.0
661599,CMR,HKG,1982,7030000000.0,64200000000.0
661600,CMR,HKG,1986,9320000000.0,83400000000.0
661601,CMR,HKG,1990,7750000000.0,106000000000.0
661602,CMR,HKG,1995,7040000000.0,139000000000.0
661603,CMR,HKG,1996,7390000000.0,145000000000.0
661604,CMR,HKG,1997,7770000000.0,153000000000.0
661605,CMR,HKG,1998,8160000000.0,145000000000.0
661606,CMR,HKG,1999,8520000000.0,150000000000.0
661607,CMR,HKG,2000,8880000000.0,165000000000.0
661608,CMR,HKG,2001,9350000000.0,166000000000.0
661609,CMR,HKG,2002,9740000000.0,169000000000.0
661610,CMR,HKG,2003,10200000000.0,175000000000.0
661611,CMR,HKG,2004,10700000000.0,189000000000.0
661628,CMR,HKG,1987,9120000000.0,94200000000.0
661629,CMR,HKG,1989,8250000000.0,104000000000.0
662025,CMR,HND,1990,7750000000.0,4310000000.0
662027,CMR,HND,1989,8250000000.0,4310000000.0
662029,CMR,HND,2000,8880000000.0,5960000000.0
662031,CMR,HND,2001,9350000000.0,6110000000.0
662032,CMR,HND,1986,9320000000.0,3720000000.0
662033,CMR,HRV,2003,10200000000.0,21100000000.0
662034,CMR,HRV,2004,10700000000.0,21900000000.0
662036,CMR,HUN,1976,3870000000.0,33600000000.0
662037,CMR,HUN,1977,4410000000.0,36100000000.0
662038,CMR,HUN,1978,5370000000.0,36000000000.0
662039,CMR,HUN,1979,5700000000.0,38700000000.0
662040,CMR,HUN,1980,5590000000.0,38600000000.0
662041,CMR,HUN,1986,9320000000.0,42800000000.0
662042,CMR,HUN,1987,9120000000.0,44500000000.0
662043,CMR,HUN,1989,8250000000.0,44800000000.0
662044,CMR,HUN,1990,7750000000.0,43200000000.0
662045,CMR,HUN,1999,8520000000.0,44400000000.0
662051,CMR,HUN,1982,7030000000.0,40800000000.0
662056,CMR,HUN,1995,7040000000.0,38400000000.0
662057,CMR,HUN,2000,8880000000.0,46700000000.0
662062,CMR,HUN,1997,7770000000.0,40600000000.0
662063,CMR,HUN,1998,8160000000.0,42600000000.0
662065,CMR,HUN,2001,9350000000.0,48500000000.0
