,ccode,pcode,year,cgdp_c2000,pgdp_c2000
577,ARE,ABW,2000,70300000000.0,
579,ARE,AFG,1993,48500000000.0,
580,ARE,AFG,1999,62600000000.0,
581,ARE,AFG,2000,70300000000.0,
582,ARE,AFG,2001,72700000000.0,
586,ARE,AFG,1991,47600000000.0,
587,ARE,AFG,1992,48900000000.0,
613,ARE,AFG,1989,40400000000.0,
655,ARE,AGO,1999,62600000000.0,8860000000.0
656,ARE,AGO,2000,70300000000.0,9130000000.0
657,ARE,AGO,2001,72700000000.0,9420000000.0
722,ARE,ALB,2001,72700000000.0,3980000000.0
723,ARE,ALB,1999,62600000000.0,3440000000.0
725,ARE,ALB,2000,70300000000.0,3690000000.0
742,ARE,ARG,1991,47600000000.0,205000000000.0
743,ARE,ARG,1992,48900000000.0,230000000000.0
744,ARE,ARG,1993,48500000000.0,243000000000.0
745,ARE,ARG,1999,62600000000.0,287000000000.0
746,ARE,ARG,2000,70300000000.0,284000000000.0
747,ARE,ARG,2001,72700000000.0,272000000000.0
821,ARE,ARM,1999,62600000000.0,1800000000.0
822,ARE,ARM,2000,70300000000.0,1910000000.0
823,ARE,ARM,2001,72700000000.0,2090000000.0
896,ARE,AUS,1991,47600000000.0,275000000000.0
897,ARE,AUS,1992,48900000000.0,285000000000.0
898,ARE,AUS,1993,48500000000.0,296000000000.0
899,ARE,AUS,1999,62600000000.0,381000000000.0
900,ARE,AUS,2000,70300000000.0,389000000000.0
901,ARE,AUS,2001,72700000000.0,404000000000.0
951,ARE,AUS,1984,45300000000.0,227000000000.0
952,ARE,AUS,1985,42300000000.0,236000000000.0
953,ARE,AUS,1986,34400000000.0,242000000000.0
954,ARE,AUS,1988,35600000000.0,265000000000.0
955,ARE,AUS,1989,40400000000.0,275000000000.0
956,ARE,AUS,1990,47500000000.0,274000000000.0
1030,ARE,AUT,1991,47600000000.0,156000000000.0
1031,ARE,AUT,1992,48900000000.0,159000000000.0
1032,ARE,AUT,1993,48500000000.0,160000000000.0
1033,ARE,AUT,1999,62600000000.0,184000000000.0
1034,ARE,AUT,2000,70300000000.0,190000000000.0
1035,ARE,AUT,2001,72700000000.0,192000000000.0
1092,ARE,AUT,1985,42300000000.0,128000000000.0
1093,ARE,AUT,1986,34400000000.0,131000000000.0
1094,ARE,AUT,1989,40400000000.0,144000000000.0
1095,ARE,AUT,1990,47500000000.0,151000000000.0
1176,ARE,AZE,1999,62600000000.0,4750000000.0
1177,ARE,AZE,2000,70300000000.0,5270000000.0
1178,ARE,AZE,2001,72700000000.0,5800000000.0
1211,ARE,AZE,1993,48500000000.0,5290000000.0
1255,ARE,BDI,1999,62600000000.0,685000000.0
1256,ARE,BDI,2000,70300000000.0,679000000.0
1258,ARE,BDI,2001,72700000000.0,700000000.0
1266,ARE,BDI,1993,48500000000.0,805000000.0
1295,ARE,BEN,1999,62600000000.0,2130000000.0
1296,ARE,BEN,2000,70300000000.0,2260000000.0
1297,ARE,BEN,2001,72700000000.0,2370000000.0
1346,ARE,BFA,2001,72700000000.0,2750000000.0
1347,ARE,BFA,2000,70300000000.0,2600000000.0
1350,ARE,BFA,1999,62600000000.0,2560000000.0
1366,ARE,BGD,1991,47600000000.0,29400000000.0
1367,ARE,BGD,1992,48900000000.0,30900000000.0
1368,ARE,BGD,1993,48500000000.0,32300000000.0
1369,ARE,BGD,1999,62600000000.0,43000000000.0
1370,ARE,BGD,2000,70300000000.0,45500000000.0
1371,ARE,BGD,2001,72700000000.0,47900000000.0
1461,ARE,BGR,1992,48900000000.0,12800000000.0
1462,ARE,BGR,1993,48500000000.0,12600000000.0
1463,ARE,BGR,1999,62600000000.0,12000000000.0
1464,ARE,BGR,2000,70300000000.0,12600000000.0
1465,ARE,BGR,2001,72700000000.0,13100000000.0
1468,ARE,BGR,1991,47600000000.0,13800000000.0
1544,ARE,BHR,1991,47600000000.0,5170000000.0
1545,ARE,BHR,1992,48900000000.0,5520000000.0
1546,ARE,BHR,1993,48500000000.0,6220000000.0
1547,ARE,BHR,1999,62600000000.0,7570000000.0
1548,ARE,BHR,2000,70300000000.0,7970000000.0
1549,ARE,BHR,2001,72700000000.0,8340000000.0
1602,ARE,BHR,1984,45300000000.0,3890000000.0
1603,ARE,BHR,1985,42300000000.0,3710000000.0
1604,ARE,BHR,1986,34400000000.0,3750000000.0
1605,ARE,BHR,1988,35600000000.0,4430000000.0
1606,ARE,BHR,1989,40400000000.0,4450000000.0
1607,ARE,BHR,1990,47500000000.0,4650000000.0
1689,ARE,BHS,2001,72700000000.0,4780000000.0
1690,ARE,BHS,1991,47600000000.0,3940000000.0
1691,ARE,BHS,1992,48900000000.0,3860000000.0
1692,ARE,BHS,1993,48500000000.0,3940000000.0
1693,ARE,BHS,1999,62600000000.0,4650000000.0
1696,ARE,BHS,2000,70300000000.0,4880000000.0
1699,ARE,BIH,1993,48500000000.0,
1700,ARE,BIH,1999,62600000000.0,4310000000.0
1701,ARE,BIH,2001,72700000000.0,4750000000.0
1703,ARE,BIH,2000,70300000000.0,4550000000.0
1722,ARE,BLR,1999,62600000000.0,10800000000.0
1723,ARE,BLR,2000,70300000000.0,11400000000.0
1726,ARE,BLR,2001,72700000000.0,12000000000.0
1728,ARE,BLR,1992,48900000000.0,11500000000.0
1731,ARE,BLR,1993,48500000000.0,10600000000.0
1741,ARE,BLZ,2001,72700000000.0,873000000.0
1742,ARE,BLZ,2000,70300000000.0,832000000.0
1745,ARE,BMU,1993,48500000000.0,
1746,ARE,BMU,1999,62600000000.0,
1747,ARE,BMU,2000,70300000000.0,
1748,ARE,BOL,1999,62600000000.0,8190000000.0
1749,ARE,BOL,2000,70300000000.0,8400000000.0
1750,ARE,BOL,2001,72700000000.0,8540000000.0
1757,ARE,BRA,1991,47600000000.0,468000000000.0
1758,ARE,BRA,1992,48900000000.0,465000000000.0
1759,ARE,BRA,1993,48500000000.0,488000000000.0
1760,ARE,BRA,1999,62600000000.0,576000000000.0
1761,ARE,BRA,2000,70300000000.0,602000000000.0
1762,ARE,BRA,2001,72700000000.0,610000000000.0
1807,ARE,BRA,1985,42300000000.0,418000000000.0
1879,ARE,BRN,1999,62600000000.0,
1880,ARE,BRN,2000,70300000000.0,
1881,ARE,BRN,2001,72700000000.0,
1903,ARE,BRN,1993,48500000000.0,
1912,ARE,BRN,1992,48900000000.0,
1933,ARE,BTN,2000,70300000000.0,488000000.0
1934,ARE,BWA,2001,72700000000.0,5530000000.0
1935,ARE,BWA,2000,70300000000.0,5250000000.0
1944,ARE,CAF,1999,62600000000.0,931000000.0
1948,ARE,CAF,2001,72700000000.0,967000000.0
1949,ARE,CAF,2000,70300000000.0,953000000.0
1959,ARE,CAN,1991,47600000000.0,524000000000.0
1960,ARE,CAN,1992,48900000000.0,528000000000.0
1961,ARE,CAN,1993,48500000000.0,541000000000.0
1962,ARE,CAN,1999,62600000000.0,678000000000.0
1963,ARE,CAN,2000,70300000000.0,714000000000.0
1964,ARE,CAN,2001,72700000000.0,727000000000.0
2103,ARE,CHE,1991,47600000000.0,220000000000.0
2104,ARE,CHE,1992,48900000000.0,220000000000.0
2105,ARE,CHE,1993,48500000000.0,220000000000.0
2106,ARE,CHE,1999,62600000000.0,238000000000.0
2107,ARE,CHE,2000,70300000000.0,246000000000.0
2108,ARE,CHE,2001,72700000000.0,249000000000.0
2170,ARE,CHE,1984,45300000000.0,188000000000.0
2171,ARE,CHE,1985,42300000000.0,194000000000.0
2172,ARE,CHE,1986,34400000000.0,197000000000.0
2173,ARE,CHE,1988,35600000000.0,205000000000.0
2174,ARE,CHE,1989,40400000000.0,214000000000.0
2255,ARE,CHL,1991,47600000000.0,43500000000.0
2256,ARE,CHL,1992,48900000000.0,48800000000.0
2257,ARE,CHL,1993,48500000000.0,52200000000.0
2258,ARE,CHL,1999,62600000000.0,72300000000.0
2259,ARE,CHL,2000,70300000000.0,75500000000.0
2260,ARE,CHL,2001,72700000000.0,77600000000.0
2299,ARE,CHN,1991,47600000000.0,451000000000.0
2300,ARE,CHN,1992,48900000000.0,515000000000.0
2301,ARE,CHN,1993,48500000000.0,584000000000.0
2302,ARE,CHN,1999,62600000000.0,1000000000000.0
2303,ARE,CHN,2000,70300000000.0,1080000000000.0
2304,ARE,CHN,2001,72700000000.0,1160000000000.0
2367,ARE,CHN,1984,45300000000.0,249000000000.0
2368,ARE,CHN,1985,42300000000.0,283000000000.0
2369,ARE,CHN,1986,34400000000.0,308000000000.0
2370,ARE,CHN,1988,35600000000.0,382000000000.0
2371,ARE,CHN,1989,40400000000.0,398000000000.0
2372,ARE,CHN,1990,47500000000.0,413000000000.0
2460,ARE,CIV,1991,47600000000.0,8320000000.0
2461,ARE,CIV,1992,48900000000.0,8300000000.0
2462,ARE,CIV,1993,48500000000.0,8290000000.0
2463,ARE,CIV,1999,62600000000.0,10800000000.0
2464,ARE,CIV,2000,70300000000.0,10600000000.0
2465,ARE,CIV,2001,72700000000.0,10600000000.0
2532,ARE,CMR,1999,62600000000.0,8520000000.0
2533,ARE,CMR,2000,70300000000.0,8880000000.0
2534,ARE,CMR,2001,72700000000.0,9350000000.0
2547,ARE,CMR,1993,48500000000.0,6990000000.0
2600,ARE,COG,1999,62600000000.0,2980000000.0
2601,ARE,COG,2000,70300000000.0,3220000000.0
2602,ARE,COG,2001,72700000000.0,3340000000.0
2624,ARE,COG,1993,48500000000.0,2880000000.0
2664,ARE,COG,1991,47600000000.0,2830000000.0
2673,ARE,COL,1992,48900000000.0,70200000000.0
2674,ARE,COL,1999,62600000000.0,81400000000.0
2675,ARE,COL,2000,70300000000.0,83800000000.0
2676,ARE,COL,2001,72700000000.0,85000000000.0
2683,ARE,COL,1993,48500000000.0,71900000000.0
2716,ARE,CRI,1992,48900000000.0,10700000000.0
2717,ARE,CRI,1999,62600000000.0,15700000000.0
2718,ARE,CRI,2001,72700000000.0,16100000000.0
2720,ARE,CRI,2000,70300000000.0,16000000000.0
2734,ARE,CRI,1993,48500000000.0,11500000000.0
2736,ARE,CUB,1991,47600000000.0,
2737,ARE,CUB,1992,48900000000.0,
2738,ARE,CUB,1993,48500000000.0,
2739,ARE,CUB,1999,62600000000.0,
2740,ARE,CUB,2000,70300000000.0,
2741,ARE,CUB,2001,72700000000.0,
2754,ARE,CYP,1991,47600000000.0,6140000000.0
2755,ARE,CYP,1992,48900000000.0,6720000000.0
2756,ARE,CYP,1993,48500000000.0,6770000000.0
2757,ARE,CYP,1999,62600000000.0,8710000000.0
2758,ARE,CYP,2000,70300000000.0,9150000000.0
2759,ARE,CYP,2001,72700000000.0,9520000000.0
2811,ARE,CYP,1989,40400000000.0,5680000000.0
2870,ARE,CZE,1993,48500000000.0,47900000000.0
2871,ARE,CZE,1999,62600000000.0,53600000000.0
2872,ARE,CZE,2000,70300000000.0,55700000000.0
2873,ARE,CZE,2001,72700000000.0,57200000000.0
2951,ARE,DEU,1991,47600000000.0,1630000000000.0
2952,ARE,DEU,1992,48900000000.0,1660000000000.0
2953,ARE,DEU,1993,48500000000.0,1640000000000.0
2954,ARE,DEU,1999,62600000000.0,1820000000000.0
2955,ARE,DEU,2000,70300000000.0,1870000000000.0
2956,ARE,DEU,2001,72700000000.0,1890000000000.0
3020,ARE,DEU,1984,45300000000.0,1280000000000.0
3021,ARE,DEU,1985,42300000000.0,1310000000000.0
3022,ARE,DEU,1986,34400000000.0,1340000000000.0
3023,ARE,DEU,1988,35600000000.0,1410000000000.0
3024,ARE,DEU,1989,40400000000.0,1460000000000.0
3025,ARE,DEU,1990,47500000000.0,1550000000000.0
3113,ARE,DJI,1991,47600000000.0,614000000.0
3114,ARE,DJI,1992,48900000000.0,612000000.0
3115,ARE,DJI,1999,62600000000.0,549000000.0
3116,ARE,DJI,2000,70300000000.0,553000000.0
3117,ARE,DJI,2001,72700000000.0,563000000.0
3142,ARE,DJI,1993,48500000000.0,588000000.0
3149,ARE,DJI,1984,45300000000.0,
3150,ARE,DJI,1985,42300000000.0,
3209,ARE,DMA,2001,72700000000.0,260000000.0
3210,ARE,DMA,1999,62600000000.0,269000000.0
3211,ARE,DMA,2000,70300000000.0,271000000.0
3231,ARE,DNK,1991,47600000000.0,127000000000.0
3232,ARE,DNK,1992,48900000000.0,128000000000.0
3233,ARE,DNK,1993,48500000000.0,128000000000.0
3234,ARE,DNK,1999,62600000000.0,154000000000.0
3235,ARE,DNK,2000,70300000000.0,158000000000.0
3236,ARE,DNK,2001,72700000000.0,161000000000.0
3296,ARE,DNK,1990,47500000000.0,126000000000.0
3377,ARE,DOM,1991,47600000000.0,11200000000.0
3379,ARE,DOM,1992,48900000000.0,12100000000.0
3380,ARE,DOM,1993,48500000000.0,12400000000.0
3381,ARE,DZA,1999,62600000000.0,52200000000.0
3382,ARE,DZA,2000,70300000000.0,53500000000.0
3383,ARE,DZA,2001,72700000000.0,54800000000.0
3411,ARE,DZA,1993,48500000000.0,44500000000.0
